"group","id","message_count","initial_ransom","negotiated_ransom","paid","initial_ransom_num","negotiated_ransom_num","paid_bin","ransom_paid","ransom_paid_num","discount","discount_pct","discount_given"
"Akira","20240719",6,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20240723",43,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20240803",34,4e+05,250000,TRUE,4e+05,250000,1,250000,250000,0.375,37.5,1
"Akira","20250104",13,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20250108",10,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20250110",7,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20250112",44,750000,225000,TRUE,750000,225000,1,225000,225000,0.7,70,1
"Akira","20250117",70,550000,NA,FALSE,550000,NA,0,NA,NA,0,NA,0
"Akira","20250120",7,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20250121",26,1700000,NA,FALSE,1700000,NA,0,NA,NA,0,NA,0
"Akira","20250125",9,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20250216",14,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20250217",13,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20250222",72,450000,4e+05,FALSE,450000,4e+05,0,NA,NA,0.111111111111111,NA,1
"Akira","20250227",56,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20250306",9,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20250310",24,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20250312",20,150000,115000,TRUE,150000,115000,1,115000,115000,0.233333333333333,23.3333333333333,1
"Akira","20250313",43,150000,115000,TRUE,150000,115000,1,115000,115000,0.233333333333333,23.3333333333333,1
"Akira","20250321",25,2e+05,150000,FALSE,2e+05,150000,0,NA,NA,0.25,NA,1
"Akira","20250328",39,850000,290000,FALSE,850000,290000,0,NA,NA,0.658823529411765,NA,1
"Akira","20250330",15,390000,NA,FALSE,390000,NA,0,NA,NA,0,NA,0
"Akira","20250331",6,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20250408",12,390000,NA,FALSE,390000,NA,0,NA,NA,0,NA,0
"Akira","20250417",59,2e+05,25000,TRUE,2e+05,25000,1,25000,25000,0.875,87.5,1
"Akira","20250423",65,6e+05,2e+05,TRUE,6e+05,2e+05,1,2e+05,2e+05,0.666666666666667,66.6666666666667,1
"Akira","20250424",12,550000,NA,FALSE,550000,NA,0,NA,NA,0,NA,0
"Akira","20250425",6,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20250425b",15,1e+06,NA,FALSE,1e+06,NA,0,NA,NA,0,NA,0
"Akira","4315806209",9,1e+06,NA,FALSE,1e+06,NA,0,NA,NA,0,NA,0
"Avaddon","20210112",25,1e+06,2e+05,FALSE,1e+06,2e+05,0,NA,NA,0.8,NA,1
"Avaddon","20210324",73,45000,30000,FALSE,45000,30000,0,NA,NA,0.333333333333333,NA,1
"Avaddon","20210430",103,3e+05,150000,FALSE,3e+05,150000,0,NA,NA,0.5,NA,1
"Avaddon","20210512",35,1300,NA,TRUE,1300,NA,1,1300,1300,0,0,0
"Avaddon","20210518",17,4e+05,NA,FALSE,4e+05,NA,0,NA,NA,0,NA,0
"Avaddon","20210518_2",24,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Avaddon","20210518_3",103,80000,30000,FALSE,80000,30000,0,NA,NA,0.625,NA,1
"Avos","20210903",86,150000,85000,FALSE,150000,85000,0,NA,NA,0.433333333333333,NA,1
"Babuk","20210203",106,4e+05,85000,FALSE,4e+05,85000,0,NA,NA,0.7875,NA,1
"Babuk","20210428",44,1e+06,5e+05,FALSE,1e+06,5e+05,0,NA,NA,0.5,NA,1
"BlackBasta","20221011",50,5e+05,3e+05,TRUE,5e+05,3e+05,1,3e+05,3e+05,0.4,40,1
"BlackBasta","20221229",50,7e+05,5e+05,TRUE,7e+05,5e+05,1,5e+05,5e+05,0.285714285714286,28.5714285714286,1
"BlackBasta","20230410",57,4e+05,150000,TRUE,4e+05,150000,1,150000,150000,0.625,62.5,1
"BlackBasta","20230501",50,NA,150000,TRUE,NA,150000,1,150000,150000,0,NA,0
"BlackBasta","20240814",50,2750000,2062500,FALSE,2750000,2062500,0,NA,NA,0.25,NA,1
"BlackMatter","20210829",44,5e+06,1.5e+07,FALSE,5e+06,1.5e+07,0,NA,NA,-2,NA,0
"BlackMatter","20210907",77,1.5e+07,13500000,FALSE,1.5e+07,13500000,0,NA,NA,0.1,NA,1
"Cloak","20230802",54,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Cloak","20230802-2",66,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Conti","20201017",78,86787420,24458910,FALSE,86787420,24458910,0,NA,NA,0.718174477360889,NA,1
"Conti","20201019",9,84891520,NA,FALSE,84891520,NA,0,NA,NA,0,NA,0
"Conti","20201109",255,1.5e+07,4100000,FALSE,1.5e+07,4100000,0,NA,NA,0.726666666666667,NA,1
"Conti","20201121",6,1.4e+07,NA,FALSE,1.4e+07,NA,0,NA,NA,0,NA,0
"Conti","20201230",146,8500000,450000,TRUE,8500000,450000,1,450000,450000,0.947058823529412,94.7058823529412,1
"Conti","20210107",139,9e+05,162792,TRUE,9e+05,162792,1,162792,162792,0.81912,81.912,1
"Conti","20210126",9,1200000,NA,FALSE,1200000,NA,0,NA,NA,0,NA,0
"Conti","20210219",12,1500000,1050000,FALSE,1500000,1050000,0,NA,NA,0.3,NA,1
"Conti","20210305",45,9e+05,450000,FALSE,9e+05,450000,0,NA,NA,0.5,NA,1
"Conti","20210315",49,1100000,1e+05,TRUE,1100000,1e+05,1,1e+05,1e+05,0.909090909090909,90.9090909090909,1
"Conti","20210316",63,920000,172000,TRUE,920000,172000,1,172000,172000,0.81304347826087,81.304347826087,1
"Conti","20210426",12,1700000,NA,FALSE,1700000,NA,0,NA,NA,0,NA,0
"Conti","20210428",13,4e+06,NA,FALSE,4e+06,NA,0,NA,NA,0,NA,0
"Conti","20210513",78,2e+05,1e+05,TRUE,2e+05,1e+05,1,1e+05,1e+05,0.5,50,1
"Conti","20210517",56,4e+05,200,FALSE,4e+05,200,0,NA,NA,0.9995,NA,1
"Conti","20210517_b",69,1350000,350000,FALSE,1350000,350000,0,NA,NA,0.740740740740741,NA,1
"Conti","20210520",101,9e+05,325000,TRUE,9e+05,325000,1,325000,325000,0.638888888888889,63.8888888888889,1
"Conti","20210602",81,1700000,NA,FALSE,1700000,NA,0,NA,NA,0,NA,0
"Conti","20210611",48,6e+05,256000,TRUE,6e+05,256000,1,256000,256000,0.573333333333333,57.3333333333333,1
"Conti","20210628",34,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Conti","20210708",25,350000,280000,FALSE,350000,280000,0,NA,NA,0.2,NA,1
"Conti","20210715",10,720000,NA,FALSE,720000,NA,0,NA,NA,0,NA,0
"Conti","20210805",47,3e+06,2e+05,FALSE,3e+06,2e+05,0,NA,NA,0.933333333333333,NA,1
"Conti","20210812",46,300650,150000,TRUE,300650,150000,1,150000,150000,0.501080991185764,50.1080991185764,1
"Conti","20210820",50,980000,350000,TRUE,980000,350000,1,350000,350000,0.642857142857143,64.2857142857143,1
"Conti","20210902",43,850000,635000,FALSE,850000,635000,0,NA,NA,0.252941176470588,NA,1
"Conti","20210904",17,980000,735000,FALSE,980000,735000,0,NA,NA,0.25,NA,1
"Conti","20210923",14,1e+05,NA,FALSE,1e+05,NA,0,NA,NA,0,NA,0
"Conti","20211108",32,1200000,840000,FALSE,1200000,840000,0,NA,NA,0.3,NA,1
"Conti","20211112",32,1950000,NA,FALSE,1950000,NA,0,NA,NA,0,NA,0
"Conti","20211205",63,950000,170000,TRUE,950000,170000,1,170000,170000,0.821052631578947,82.1052631578947,1
"Conti","20211217",27,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Darkside","20200811",85,2e+06,NA,FALSE,2e+06,NA,0,NA,NA,0,NA,0
"Darkside","20201115",243,1e+06,350000,TRUE,1e+06,350000,1,350000,350000,0.65,65,1
"Darkside","20210215",24,NA,250000,TRUE,NA,250000,1,250000,250000,0,NA,0
"Darkside","20210413",63,6e+05,250000,TRUE,6e+05,250000,1,250000,250000,0.583333333333333,58.3333333333333,1
"Darkside","20210418",10,1e+07,NA,FALSE,1e+07,NA,0,NA,NA,0,NA,0
"Dragonforce","058f4b92-ae99-45c7-bf35-5d2d6754b3de",19,1500000,NA,FALSE,1500000,NA,0,NA,NA,0,NA,0
"Dragonforce","05f724f8-906e-4739-8177-815852cc2c3f",29,450000,NA,FALSE,450000,NA,0,NA,NA,0,NA,0
"Dragonforce","0BAFD294DDCEAA18",28,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Dragonforce","29BBE03074FDBB8D",10,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Dragonforce","47862256EB69DC71",10,1013409,NA,FALSE,1013409,NA,0,NA,NA,0,NA,0
"Dragonforce","7A313D13EB6B4E58",32,1251000,1167600,FALSE,1251000,1167600,0,NA,NA,0.0666666666666667,NA,1
"Dragonforce","89716D29D2CEE36F",23,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Dragonforce","AB0404E049514B50",28,5e+05,NA,FALSE,5e+05,NA,0,NA,NA,0,NA,0
"Dragonforce","BD004D632D87DBA0",25,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Dragonforce","C2A3C7249797F5ED",66,4e+05,1e+05,FALSE,4e+05,1e+05,0,NA,NA,0.75,NA,1
"Dragonforce","C42CDF65B97D0E92",30,1338300,NA,FALSE,1338300,NA,0,NA,NA,0,NA,0
"Dragonforce","C7CD31EAAF9DE9AC",71,NA,123660,FALSE,NA,123660,0,NA,NA,0,NA,0
"Dragonforce","C8479B30418B331E",4,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Dragonforce","D6DDD9B26D7D41DB",14,1013000,NA,FALSE,1013000,NA,0,NA,NA,0,NA,0
"Hive","20211004",70,5e+05,275800,FALSE,5e+05,275800,0,NA,NA,0.4484,NA,1
"Hive","20211005",19,1200000,NA,FALSE,1200000,NA,0,NA,NA,0,NA,0
"Hive","20211026",46,3500000,2500000,FALSE,3500000,2500000,0,NA,NA,0.285714285714286,NA,1
"Hive","20211102",58,2e+05,170000,FALSE,2e+05,170000,0,NA,NA,0.15,NA,1
"Hive","20211113",136,2e+07,16833483,FALSE,2e+07,16833483,0,NA,NA,0.15832585,NA,1
"Hive","20211126",4,3500000,NA,FALSE,3500000,NA,0,NA,NA,0,NA,0
"Hive","20211213",15,3e+05,1e+05,FALSE,3e+05,1e+05,0,NA,NA,0.666666666666667,NA,1
"Hive","20211220",24,1e+06,NA,FALSE,1e+06,NA,0,NA,NA,0,NA,0
"Hunters International","20240510",29,1e+07,NA,FALSE,1e+07,NA,0,NA,NA,0,NA,0
"Mallox","20230427",62,20000,19987,TRUE,20000,19987,1,19987,19987,0.000650000000000039,0.065,1
"Mallox","20230529",29,NA,20000,FALSE,NA,20000,0,NA,NA,0,NA,0
"Mallox","20230530",17,37500,30000,FALSE,37500,30000,0,NA,NA,0.2,NA,1
"NoEscape","20230911",6,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"NoEscape","20230912",4,80000,NA,FALSE,80000,NA,0,NA,NA,0,NA,0
"Qilin","20240429",3,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Qilin","20250203",36,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"REvil","20201014",72,7500000,1270000,TRUE,7500000,1270000,1,1270000,1270000,0.830666666666667,83.0666666666667,1
"REvil","20201104",63,6e+06,NA,FALSE,6e+06,NA,0,NA,NA,0,NA,0
"REvil","20201126",79,9e+06,NA,FALSE,9e+06,NA,0,NA,NA,0,NA,0
"REvil","20210320",13,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"REvil","20210329",43,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"REvil","20210331",23,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"REvil","20210401",78,170000,1e+05,TRUE,170000,1e+05,1,1e+05,1e+05,0.411764705882353,41.1764705882353,1
"REvil","20210407",15,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"REvil","20210413",156,3e+06,1500000,FALSE,3e+06,1500000,0,NA,NA,0.5,NA,1
"REvil","20210603",63,2500000,4e+05,TRUE,2500000,4e+05,1,4e+05,4e+05,0.84,84,1
"REvil","20210604",10,5500000,NA,FALSE,5500000,NA,0,NA,NA,0,NA,0
"REvil","20210609",58,3e+05,50000,TRUE,3e+05,50000,1,50000,50000,0.833333333333333,83.3333333333333,1
"REvil","20210613",132,1e+06,3e+05,TRUE,1e+06,3e+05,1,3e+05,3e+05,0.7,70,1
"REvil","20210616",31,5e+05,280000,TRUE,5e+05,280000,1,280000,280000,0.44,44,1
"REvil","20210617",67,120000,15300,FALSE,120000,15300,0,NA,NA,0.8725,NA,1
"REvil","20210622",52,1e+05,35000,TRUE,1e+05,35000,1,35000,35000,0.65,65,1
"REvil","20210628",39,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"REvil","20210630",42,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"REvil","20210708",28,3e+06,3e+05,FALSE,3e+06,3e+05,0,NA,NA,0.9,NA,1
"REvil","20210709",1,5e+06,NA,FALSE,5e+06,NA,0,NA,NA,0,NA,0
"RansomHub","20240810",1,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Ranzy","20201015",36,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Ranzy","20210223",20,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"RunSomeWares","20250411",27,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"fog","20240517",27,4e+05,NA,FALSE,4e+05,NA,0,NA,NA,0,NA,0
"fog","20240729",144,2e+05,150000,TRUE,2e+05,150000,1,150000,150000,0.25,25,1
"fog","20240830",73,290000,1e+05,TRUE,290000,1e+05,1,1e+05,1e+05,0.655172413793103,65.5172413793103,1
"fog","20240910",26,125000,0,FALSE,125000,0,0,NA,NA,1,NA,1
"fog","20240927",60,8e+05,2500000,TRUE,8e+05,2500000,1,2500000,2500000,-2.125,-212.5,0
"fog","20241119",3,160000,NA,FALSE,160000,NA,0,NA,NA,0,NA,0
"lockbit3.0","**************************149576",17,3e+06,1e+06,FALSE,3e+06,1e+06,0,NA,NA,0.666666666666667,NA,1
"lockbit3.0","Leaked2025-ClientID-124",55,50000,30000,TRUE,50000,30000,1,30000,30000,0.4,40,1
"lockbit3.0","Leaked2025-ClientID-154",137,120000,40000,TRUE,120000,40000,1,40000,40000,0.666666666666667,66.6666666666667,1
"lockbit3.0","Leaked2025-ClientID-206",4,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"lockbit3.0","Leaked2025-ClientID-36",55,80000,50000,TRUE,80000,50000,1,50000,50000,0.375,37.5,1
"lockbit3.0","aguasdoporto_pt",3,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"lockbit3.0","bakkerheftrucks_com",27,1e+05,10000,FALSE,1e+05,10000,0,NA,NA,0.9,NA,1
"lockbit3.0","bankbsi_co_id",27,2e+07,NA,FALSE,2e+07,NA,0,NA,NA,0,NA,0
"lockbit3.0","brownintegratedlogistics_com",30,4e+06,NA,FALSE,4e+06,NA,0,NA,NA,0,NA,0
"lockbit3.0","chsf_fr",42,1e+06,NA,FALSE,1e+06,NA,0,NA,NA,0,NA,0
"lockbit3.0","colonialgeneral_com",25,120000,NA,FALSE,120000,NA,0,NA,NA,0,NA,0
"lockbit3.0","continental_com",37,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"lockbit3.0","datair_com",106,150000,250000,FALSE,150000,250000,0,NA,NA,-0.666666666666667,NA,0
"lockbit3.0","des-ae_com",32,7e+05,NA,FALSE,7e+05,NA,0,NA,NA,0,NA,0
"lockbit3.0","emunworks_com",8,2e+05,NA,FALSE,2e+05,NA,0,NA,NA,0,NA,0
"lockbit3.0","entrust_com",29,8e+06,6800000,FALSE,8e+06,6800000,0,NA,NA,0.15,NA,1
"lockbit3.0","gavresorts_com_br",6,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"lockbit3.0","genusplc_com",34,5e+06,3300000,FALSE,5e+06,3300000,0,NA,NA,0.34,NA,1
"lockbit3.0","gocontec_com",52,4e+06,3600000,FALSE,4e+06,3600000,0,NA,NA,0.1,NA,1
"lockbit3.0","guardiananalytics_com",27,5e+05,NA,FALSE,5e+05,NA,0,NA,NA,0,NA,0
"lockbit3.0","hgc_com_hk",8,1.9e+07,NA,FALSE,1.9e+07,NA,0,NA,NA,0,NA,0
"lockbit3.0","kaycan_com",94,8e+06,7200000,FALSE,8e+06,7200000,0,NA,NA,0.1,NA,1
"lockbit3.0","lapostemobile_fr",93,1400000,3e+05,FALSE,1400000,3e+05,0,NA,NA,0.785714285714286,NA,1
"lockbit3.0","millennia_pro",43,3e+05,NA,FALSE,3e+05,NA,0,NA,NA,0,NA,0
"lockbit3.0","msim_de",54,2e+06,1900000,FALSE,2e+06,1900000,0,NA,NA,0.05,NA,1
"lockbit3.0","myerspower_com",99,4500000,NA,FALSE,4500000,NA,0,NA,NA,0,NA,0
"lockbit3.0","newbridge_org",70,250000,NA,FALSE,250000,NA,0,NA,NA,0,NA,0
"lockbit3.0","nicklaus_com",43,7e+06,NA,FALSE,7e+06,NA,0,NA,NA,0,NA,0
"lockbit3.0","okcu_edu",56,1e+06,NA,FALSE,1e+06,NA,0,NA,NA,0,NA,0
"lockbit3.0","omscomponents_it",66,5e+05,NA,FALSE,5e+05,NA,0,NA,NA,0,NA,0
"lockbit3.0","plasticproductsco_com",28,6e+06,NA,FALSE,6e+06,NA,0,NA,NA,0,NA,0
"lockbit3.0","porcelanosa-usa_com",8,1500000,NA,FALSE,1500000,NA,0,NA,NA,0,NA,0
"lockbit3.0","preflooring_com",17,2e+05,NA,FALSE,2e+05,NA,0,NA,NA,0,NA,0
"lockbit3.0","psenergy_com",25,2e+06,NA,FALSE,2e+06,NA,0,NA,NA,0,NA,0
"lockbit3.0","qsi-q3_de",20,4e+05,NA,FALSE,4e+05,NA,0,NA,NA,0,NA,0
"lockbit3.0","royalmailgroup_com",103,8e+07,NA,FALSE,8e+07,NA,0,NA,NA,0,NA,0
"lockbit3.0","samyang_com",237,8e+06,1.8e+07,FALSE,8e+06,1.8e+07,0,NA,NA,-1.25,NA,0
"lockbit3.0","scohil_com",29,120000,NA,FALSE,120000,NA,0,NA,NA,0,NA,0
"lockbit3.0","sirva_com",78,1.5e+07,NA,FALSE,1.5e+07,NA,0,NA,NA,0,NA,0
"lockbit3.0","software-line_it",30,1e+05,NA,FALSE,1e+05,NA,0,NA,NA,0,NA,0
"lockbit3.0","tapcocu_org",215,6e+06,1e+06,FALSE,6e+06,1e+06,0,NA,NA,0.833333333333333,NA,1
"lockbit3.0","vitalityhp_net",73,1e+06,NA,FALSE,1e+06,NA,0,NA,NA,0,NA,0
"lockbit3.0","vsainc_com",21,1e+05,NA,FALSE,1e+05,NA,0,NA,NA,0,NA,0
"lockbit3.0","wabteccorp_com",39,2.5e+07,NA,FALSE,2.5e+07,NA,0,NA,NA,0,NA,0
"lockbit3.0","wcinet_com",34,1500000,NA,FALSE,1500000,NA,0,NA,NA,0,NA,0
"mount-locker","20201016",60,9e+06,4115500,FALSE,9e+06,4115500,0,NA,NA,0.542722222222222,NA,1
"trinity","0001",2,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"trinity","0002",52,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"trinity","0003",298,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"trinity","0004",170,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"trinity","0005",14,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"trinity","0006",11,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"trinity","0007",36,7e+05,NA,FALSE,7e+05,NA,0,NA,NA,0,NA,0
"trinity","0008",13,30000,NA,FALSE,30000,NA,0,NA,NA,0,NA,0
"trinity","0009",6,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"trinity","0010",8,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"trinity","0011",50,15000,NA,TRUE,15000,NA,1,15000,15000,0,0,0
"trinity","0012",15,30000,NA,FALSE,30000,NA,0,NA,NA,0,NA,0
"trinity","0013",32,30000,NA,FALSE,30000,NA,0,NA,NA,0,NA,0
"trinity","0014",6,30000,NA,FALSE,30000,NA,0,NA,NA,0,NA,0
